,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,51.1,31.3,37.7,51.1,23.8,29.3,31.1,77.6,0.377,100.0,33.33,0.0,0.0,44.5,26.4,310.4,63.7,9.2,83.1,7.2,5.0,0.0
1,46.8,38.3,42.4,42.8,32.9,38.5,33.2,70.2,0.067,100.0,12.5,0.0,0.0,24.2,13.9,74.7,71.0,9.7,39.6,3.3,2.0,0.47
2,52.3,32.5,44.1,52.3,23.9,39.6,38.8,83.0,0.295,100.0,54.17,0.0,0.0,23.0,14.8,296.7,95.4,8.4,21.6,1.7,1.0,0.53
3,50.7,30.3,39.5,50.7,22.3,34.3,21.1,51.0,0.0,0.0,0.0,0.0,0.0,24.8,13.2,327.7,9.0,9.9,133.5,11.4,6.0,0.81
4,58.3,32.6,43.5,58.3,32.6,43.1,24.2,50.6,0.0,0.0,0.0,0.0,0.0,13.2,8.7,309.3,21.9,9.9,125.4,10.8,5.0,1.0
5,44.7,28.5,35.5,40.9,19.0,28.6,19.4,54.5,0.0,0.0,0.0,0.0,0.0,29.7,18.1,329.5,20.1,9.9,159.3,13.9,6.0,0.11
6,50.5,30.9,39.9,50.5,22.6,35.1,21.3,49.2,0.0,0.0,0.0,0.0,0.0,23.9,13.4,76.0,28.1,9.9,157.1,13.8,6.0,0.15
7,49.5,41.8,45.1,46.5,38.3,42.1,28.2,51.8,0.0,0.0,0.0,0.0,0.0,20.8,10.8,339.1,61.4,9.9,72.9,6.2,3.0,0.2
8,54.9,34.7,44.0,54.9,29.0,41.6,25.4,49.8,0.0,0.0,0.0,0.0,0.0,22.4,13.5,336.6,18.9,9.9,158.4,13.8,6.0,0.25
9,65.8,35.3,50.1,65.8,35.3,50.0,27.5,46.7,0.0,0.0,0.0,0.0,0.0,24.2,14.4,270.6,5.9,9.9,167.0,14.6,6.0,0.34
10,46.9,36.6,41.8,40.8,27.8,35.0,19.4,42.9,0.0,0.0,0.0,0.0,0.0,30.7,19.2,311.3,33.2,9.9,172.9,14.9,7.0,0.45
11,55.5,29.7,41.7,55.5,21.0,37.4,21.9,48.3,0.0,0.0,0.0,0.0,0.0,27.7,15.0,320.8,0.4,9.9,189.9,16.6,7.0,0.54
12,60.0,31.6,46.0,60.0,29.1,44.8,21.7,42.0,0.0,0.0,0.0,0.0,0.0,23.0,10.6,100.5,14.3,9.9,194.3,17.0,7.0,0.58
13,65.2,46.6,58.8,65.2,42.0,58.3,50.3,74.6,0.052,100.0,16.67,0.0,0.0,30.7,13.2,282.9,50.5,9.6,96.8,8.2,5.0,0.84
14,77.0,41.6,58.3,77.0,39.6,58.1,31.6,41.8,0.0,0.0,0.0,0.0,0.0,19.3,12.7,304.9,0.0,9.9,206.2,17.9,7.0,1.0
15,56.8,23.8,38.9,56.8,18.8,36.2,12.2,36.0,0.0,0.0,0.0,0.0,0.0,18.3,10.1,292.1,0.9,9.9,241.5,19.9,8.0,0.39
16,66.4,46.0,55.2,66.4,46.0,55.1,44.8,68.6,0.096,100.0,25.0,0.0,0.0,28.2,11.4,93.5,72.3,9.5,100.1,8.5,4.0,0.46
