ip,port
67.149.165.201,9090
78.227.141.60,3128
24.51.32.59,8080
103.36.35.249,5678
110.243.6.51,9999
188.165.201.20,60730
188.133.188.50,8080
146.56.191.240,44884
37.59.98.31,9050
212.83.143.118,51457
181.170.240.139,5678
82.103.116.126,4153
178.253.212.118,1080
38.127.172.161,46656
154.113.161.145,5678
217.145.94.196,4153
45.70.206.41,4145
194.87.58.16,80
112.78.161.191,8089
103.210.28.154,31433
87.236.232.231,8080
173.236.181.192,24310
146.70.101.95,4154
95.38.145.56,4153
221.195.143.239,55653
185.202.7.161,1455
36.66.170.25,4153
212.83.143.204,39480
85.194.243.237,31189
134.236.8.227,4145
202.151.163.10,1080
125.228.77.228,1081
51.178.25.239,9050
107.173.84.231,32124
182.253.154.72,4145
128.199.93.105,24115
180.241.158.221,8085
119.3.188.87,1080
119.7.232.39,24388
46.227.39.1,1088
103.87.201.135,4145
119.18.152.140,4145
202.180.20.114,1080
38.127.179.219,46656
222.129.168.141,1080
94.181.33.149,40840
45.196.151.59,5432
103.253.145.43,61461
110.78.148.198,4145
103.235.227.163,8118
189.201.191.68,4145
103.79.152.204,5678
47.117.138.120,1080
91.210.98.61,4145
45.70.237.130,4145
36.255.211.1,55438
70.127.78.92,5678
96.70.52.227,48324
122.248.46.26,4145
112.78.138.163,5678
81.16.9.222,3629
50.96.204.48,18351
190.205.42.46,1080
135.181.140.215,43491
168.228.224.66,3629
193.70.113.238,18545
104.16.106.234,80
185.32.44.217,4153
104.24.15.158,80
139.59.73.112,63689
45.238.57.1,3629
176.227.155.65,9999
186.251.253.14,31337
192.181.69.47,5678
50.197.210.138,32100
190.216.56.1,4153
37.252.66.125,46324
195.123.221.1,30015
182.52.32.11,4153
47.241.238.217,1080
177.86.64.241,3629
61.7.138.171,4145
93.171.224.56,4153
187.44.1.248,5678
162.19.7.46,38083
179.43.140.131,9050
43.134.225.110,443
75.119.205.179,23456
162.12.217.70,3629
5.34.74.234,5678
222.129.32.31,57114
190.110.165.124,5678
190.96.97.202,4153
88.247.103.30,4153
103.240.33.17,8291
45.166.246.1,4153
103.58.75.24,5678
200.81.147.1,1080
38.9.163.36,999
120.50.40.184,3128
103.78.170.13,83
189.186.222.250,999
103.70.159.152,5678
47.115.162.7,8060
185.207.205.134,8001
103.47.93.236,1080
202.44.228.185,4153
106.14.148.126,1080
200.24.157.122,999
45.70.206.40,4145
43.153.168.234,443
1.2.212.35,4145
5.181.252.102,7497
77.37.155.85,1080
117.102.115.158,4153
116.58.232.187,4145
200.19.159.34,3128
49.156.42.186,5678
79.175.134.30,808
172.67.14.237,80
45.233.0.1,4153
94.23.4.127,8444
8.42.68.249,39593
37.252.86.97,5678
45.166.246.5,4153
75.119.197.166,19821
177.234.212.92,999
54.38.163.25,5678
193.84.184.25,5678
170.254.255.224,45816
103.243.114.206,8080
159.65.4.147,7497
45.64.99.145,4145
75.119.205.50,51833
136.243.88.67,30855
101.108.193.77,4145
144.217.131.61,3148
177.184.67.37,4145
104.16.106.65,80
36.37.251.171,5678
203.28.8.141,80
200.12.37.170,5678
103.82.8.189,4153
157.245.1.59,57998
202.166.192.84,5678
103.251.221.49,4145
122.129.107.54,5678
36.67.147.222,4153
45.7.177.184,39867
181.209.96.227,4153
220.189.52.36,2080
