,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase
0,2017-05-01,74.9,63.9,70.0,74.9,63.9,70.0,54.9,62.6,0.219,100,16.67,0.0,0.0,30.8,16.6,216.2,46.9,9.6,211.2,18.5,8,0.16
1,2017-05-02,79.1,49.8,65.4,79.1,49.8,65.4,41.1,45.2,0.0,0,0.0,0.0,0.0,23.8,14.3,281.9,0.9,9.9,344.8,30.0,10,0.22
2,2017-05-03,83.0,52.6,69.8,80.8,52.6,69.3,46.5,47.7,0.0,0,0.0,0.0,0.0,20.8,10.8,182.4,16.7,9.9,333.3,29.0,10,0.27
3,2017-05-04,73.2,59.9,65.2,73.2,59.9,65.2,58.1,81.0,0.814,100,62.5,0.0,0.0,33.5,16.0,153.9,71.8,8.0,85.1,7.4,3,0.32
4,2017-05-05,57.7,48.8,51.8,57.7,44.1,50.6,48.7,89.4,0.109,100,45.83,0.0,0.0,26.6,15.0,245.1,76.9,8.9,219.3,19.0,8,0.37
5,2017-05-06,72.4,46.1,58.6,72.4,42.4,56.8,43.9,62.3,0.003,100,4.17,0.0,0.0,31.7,18.1,284.4,39.9,9.9,347.5,30.0,10,0.41
6,2017-05-07,69.9,48.7,60.0,69.9,48.0,59.9,41.7,56.0,0.0,0,0.0,0.0,0.0,22.8,12.9,320.2,23.7,9.9,351.0,30.1,10,0.45
7,2017-05-08,77.9,47.9,63.7,77.9,47.9,63.7,46.4,57.1,0.0,0,0.0,0.0,0.0,23.9,13.9,323.9,3.9,9.9,343.0,29.6,10,0.47
8,2017-05-09,84.8,56.6,71.6,83.2,56.6,71.1,53.3,56.0,0.0,0,0.0,0.0,0.0,20.0,13.1,280.4,8.0,9.9,338.8,29.2,10,0.49
9,2017-05-10,85.7,60.4,74.1,85.4,60.4,74.1,58.1,59.8,0.0,0,0.0,0.0,0.0,19.7,10.8,281.4,7.5,9.9,334.9,29.0,10,0.5
10,2017-05-11,85.3,64.2,75.3,84.7,64.2,75.3,60.4,62.1,0.0,0,0.0,0.0,0.0,21.9,14.1,266.9,22.3,9.8,281.8,24.4,9,0.5
11,2017-05-12,81.7,64.0,71.4,82.2,64.0,71.5,62.7,75.9,0.114,100,4.17,0.0,0.0,33.9,11.9,246.1,40.0,9.6,220.2,19.0,9,0.52
12,2017-05-13,76.7,62.2,69.2,76.7,62.2,69.2,60.9,76.1,0.041,100,12.5,0.0,0.0,20.8,11.6,336.9,51.1,9.7,243.0,21.0,8,0.53
13,2017-05-14,83.0,58.0,70.1,81.6,58.0,69.9,54.1,60.6,0.0,0,0.0,0.0,0.0,,8.3,27.9,5.8,9.8,345.8,30.0,10,0.56
14,2017-05-15,87.4,59.2,74.1,85.7,59.2,73.8,57.3,59.7,0.0,0,0.0,0.0,0.0,,6.7,307.7,6.5,9.9,346.6,30.1,10,0.59
15,2017-05-16,89.2,62.6,77.4,87.4,62.6,77.0,59.2,57.7,0.0,0,0.0,0.0,0.0,16.9,9.6,189.4,8.7,9.8,347.9,30.1,10,0.63
16,2017-05-17,88.5,64.2,77.7,87.0,64.2,77.5,59.3,55.7,0.0,0,0.0,0.0,0.0,20.7,11.7,161.2,17.0,9.9,339.7,29.1,10,0.68
17,2017-05-18,87.6,70.9,79.4,89.0,70.9,80.3,64.9,62.7,0.0,0,0.0,0.0,0.0,,7.8,164.0,61.2,9.9,292.2,25.0,8,0.73
18,2017-05-19,88.7,71.0,79.8,89.8,71.0,80.4,64.0,59.9,0.0,0,0.0,0.0,0.0,,9.9,151.0,43.4,9.9,277.1,23.9,9,0.78
19,2017-05-20,85.5,67.0,75.5,89.0,67.0,76.7,66.3,74.2,0.137,100,16.67,0.0,0.0,44.9,17.8,130.7,32.9,9.8,189.6,16.2,7,0.83
20,2017-05-21,81.4,68.0,73.2,83.9,68.0,73.5,67.4,83.3,0.873,100,54.17,0.0,0.0,29.9,13.1,312.3,65.7,8.7,183.2,15.8,7,0.88
21,2017-05-22,77.4,68.1,71.4,77.4,68.1,71.4,67.9,89.0,0.236,100,37.5,0.0,0.0,,7.6,316.0,52.2,9.0,185.6,16.0,8,0.93
22,2017-05-23,73.6,64.9,68.9,73.6,64.9,68.9,65.7,89.9,0.984,100,70.83,0.0,0.0,,9.8,206.0,72.3,7.4,110.0,9.6,4,0.97
23,2017-05-24,78.1,62.1,69.0,78.1,62.1,69.0,60.6,76.8,0.07,100,25.0,0.0,0.0,30.3,16.4,240.4,72.1,9.5,268.6,23.3,7,0.99
